record_id,speciesname,latitude,longitude,recordedby,datefound,determinedby,lifestage,sex,notes,rights,rightsholder,sourcelink
AMNH_BEES30930,Melissodes apicatus,,,John Ascher,,,,,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEES30930
AMNH_BEES30939,Melissodes apicatus,,,John Ascher,,,,,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEES30939
AMNH_BEES30933,Melissodes apicatus,,,John Ascher,,,,,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEES30933
AMNH_BEES30940,Melissodes apicatus,,,John Ascher,,,,,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEES30940
AMNH_BEES30943,Melissodes apicatus,,,John Ascher,,,,,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEES30943
AMNH_BEES30926,Melissodes apicatus,,,John Ascher,,,,,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEES30926
AMNH_BEES30929,Melissodes apicatus,,,John Ascher,,,,,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEES30929
AMNH_BEES30928,Melissodes apicatus,,,John Ascher,,,,,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEES30928
AMNH_BEES30932,Melissodes apicatus,,,John Ascher,,,,,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEES30932
AMNH_BEES30938,Melissodes apicatus,,,John Ascher,,,,,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEES30938
AMNH_BEES30931,Melissodes apicatus,,,John Ascher,,,,,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEES30931
AMNH_BEES30941,Melissodes apicatus,,,John Ascher,,,,,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEES30941
AMNH_BEES30942,Melissodes apicatus,,,John Ascher,,,,,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEES30942
AMNH_BEES30934,Melissodes apicatus,,,John Ascher,,,,,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEES30934
AMNH_BEES30944,Melissodes apicatus,,,John Ascher,,,,,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEES30944
RJ105,apicatus,44.037958,-89.276915,Rob Jean,2021-07-11,Rob Jean,Unknown,Male,,,,https://www.discoverlife.org/mp/20l?id=RJ105
USGS_DRO644234,Melissodes apicatus,38.5614,-75.6706,Jason Davis,2024-04-05,Clare Maffei,Unknown,Male,"Weather- wind 1, sky 1, 87F ;;Blooms- Asclepia amplexicaulis, Nuttallanthus canadensis, Melampyrum lineare",,,https://www.discoverlife.org/mp/20l?id=USGS_DRO644234
USGS_DRO492078,Melissodes apicatus,39.0233,-75.7883,Nicola Seitz,2018-01-16,Sam Droege,Unknown,Male,"sunny to partly cloudy, 28-29 ï¿½C, wind: 18 km/h; Nicola Seitz Sand Mine Study",,,https://www.discoverlife.org/mp/20l?id=USGS_DRO492078
USGS_DRO420257,Melissodes apicatus,42.4111,-71.4546,Stephanie Koch,2017-01-27,Sam Droege,Unknown,Male,Fish and Wildlife Service Project,,,https://www.discoverlife.org/mp/20l?id=USGS_DRO420257
USGS_DRO161915,Melissodes apicatus,44.879,-68.6528,Laura Kenefic,2017-01-27,Sam Droege,Unknown,Male,"Forest Service Experimental Traps;Glycol traps;12 ounce cups , 3 white, 3 fl blue, 3 fl. yellow;located in their headquarters area",,,https://www.discoverlife.org/mp/20l?id=USGS_DRO161915
AMNH_BEES30935,Melissodes apicatus,,,John Ascher,,,,,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEES30935
AMNH_BEES30927,Melissodes apicatus,,,John Ascher,,,,,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEES30927
AMNH_BEES30936,Melissodes apicatus,,,John Ascher,,,,,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEES30936
AMNH_BEES30937,Melissodes apicatus,,,John Ascher,,,,,,,,https://www.discoverlife.org/mp/20l?id=AMNH_BEES30937
USGS_DRO692173,Melissodes apicatus,38.8377,-77.5137,C. Davies,2023-04-12,Sam Droege,Unknown,Male,"3 yellow, 3 blue, 3 white bowls;additional cup color randomly chosen at each transect;37.5C, 15% cloud, 3.3 km/hr",,,https://www.discoverlife.org/mp/20l?id=USGS_DRO692173
USGS_DRO613173,Melissodes apicatus,38.5614,-75.6706,Jason Davis,2022-01-11,Clare Maffei,Unknown,Male,"8 fl b, 8 fl y, 8 w ;80F start/ 88F retrieved ;wind:0 sky:0 ;-blooms- Lupinus perennis, Rubus species",,,https://www.discoverlife.org/mp/20l?id=USGS_DRO613173
USGS_DRO644236,Melissodes apicatus,38.5614,-75.6706,Jason Davis,2024-04-05,Clare Maffei,Unknown,Male,"Weather- wind 1, sky 1, 87F ;;Blooms- Asclepia amplexicaulis, Nuttallanthus canadensis, Melampyrum lineare",,,https://www.discoverlife.org/mp/20l?id=USGS_DRO644236
USGS_DRO030124,Melissodes apicatus,38.2381,-75.3658,Sam Droege,2017-01-27,Sam Droege,Unknown,Male,collected along the Pocomoke river at various locations,,,https://www.discoverlife.org/mp/20l?id=USGS_DRO030124
USGS_DRO644235,Melissodes apicatus,38.5614,-75.6706,Jason Davis,2024-04-05,Clare Maffei,Unknown,Male,"Weather- wind 1, sky 1, 87F ;;Blooms- Asclepia amplexicaulis, Nuttallanthus canadensis, Melampyrum lineare",,,https://www.discoverlife.org/mp/20l?id=USGS_DRO644235
USGS_DRO420256,Melissodes apicatus,42.4111,-71.4546,Stephanie Koch,2017-01-27,Sam Droege,Unknown,Male,Fish and Wildlife Service Project,,,https://www.discoverlife.org/mp/20l?id=USGS_DRO420256
USGS_DRO030125,Melissodes apicatus,38.2381,-75.3658,Sam Droege,2017-01-27,Sam Droege,Unknown,Male,collected along the Pocomoke river at various locations,,,https://www.discoverlife.org/mp/20l?id=USGS_DRO030125
USGS_DRO610906,Melissodes apicatus,38.8336,-75.9149,Sam W. Droege,2020-09-01,Sam Droege,Unknown,Male,"netted from canoe on Tuckahoe river, sunny near 90, light wind, humid, river wetlands of pickerelweed, wild rice, and several other plants",,,https://www.discoverlife.org/mp/20l?id=USGS_DRO610906
USGS_DRO567125,Melissodes apicatus,38.7842,-76.7025,M Fegler,2023-01-05,Sam Droege,Unknown,Male,FTE: Fresh Tidal Estuary;Yellow Base-Blue Top,,,https://www.discoverlife.org/mp/20l?id=USGS_DRO567125
